Year,Value,Sector
1980,0.052699,Geothermal Energy Production
1981,0.059437,Geothermal Energy Production
1982,0.050627,Geothermal Energy Production
1983,0.06391,Geothermal Energy Production
1984,0.080811,Geothermal Energy Production
1985,0.097421,Geothermal Energy Production
1986,0.107677,Geothermal Energy Production
1987,0.11227,Geothermal Energy Production
1988,0.106338,Geothermal Energy Production
1989,0.161539,Geothermal Energy Production
1990,0.170747,Geothermal Energy Production
1991,0.177626,Geothermal Energy Production
1992,0.178699,Geothermal Energy Production
1993,0.185673,Geothermal Energy Production
1994,0.173464,Geothermal Energy Production
1995,0.152057,Geothermal Energy Production
1996,0.163359,Geothermal Energy Production
1997,0.166698,Geothermal Energy Production
1998,0.16845,Geothermal Energy Production
1999,0.170921,Geothermal Energy Production
2000,0.164364,Geothermal Energy Production
2001,0.164461,Geothermal Energy Production
2002,0.171164,Geothermal Energy Production
2003,0.173445,Geothermal Energy Production
2004,0.178147,Geothermal Energy Production
2005,0.180703,Geothermal Energy Production
2006,0.1812,Geothermal Energy Production
2007,0.185774,Geothermal Energy Production
2008,0.192433,Geothermal Energy Production
2009,0.200185,Geothermal Energy Production
2010,0.207979,Geothermal Energy Production
2011,0.212311,Geothermal Energy Production
2012,0.211592,Geothermal Energy Production
2013,0.214006,Geothermal Energy Production
2014,0.21449,Geothermal Energy Production
2015,0.211836,Geothermal Energy Production
2016,0.209604,Geothermal Energy Production
2017,0.210233,Geothermal Energy Production
2018,0.208865,Geothermal Energy Production
2019,0.201285,Geothermal Energy Production
2020,0.2029,Geothermal Energy Production
2021,0.205955,Geothermal Energy Production
1949,0.0,Solar Energy Production
1950,0.0,Solar Energy Production
1951,0.0,Solar Energy Production
1952,0.0,Solar Energy Production
1953,0.0,Solar Energy Production
1954,0.0,Solar Energy Production
1955,0.0,Solar Energy Production
1956,0.0,Solar Energy Production
1957,0.0,Solar Energy Production
1958,0.0,Solar Energy Production
1959,0.0,Solar Energy Production
1960,0.0,Solar Energy Production
1961,0.0,Solar Energy Production
1962,0.0,Solar Energy Production
1963,0.0,Solar Energy Production
1964,0.0,Solar Energy Production
1965,0.0,Solar Energy Production
1966,0.0,Solar Energy Production
1967,0.0,Solar Energy Production
1968,0.0,Solar Energy Production
1969,0.0,Solar Energy Production
1970,0.0,Solar Energy Production
1971,0.0,Solar Energy Production
1972,0.0,Solar Energy Production
1973,0.0,Solar Energy Production
1974,0.0,Solar Energy Production
1975,0.0,Solar Energy Production
1976,0.0,Solar Energy Production
1977,0.0,Solar Energy Production
1978,0.0,Solar Energy Production
1979,0.0,Solar Energy Production
1980,0.0,Solar Energy Production
1981,0.0,Solar Energy Production
1982,0.0,Solar Energy Production
1983,0.0,Solar Energy Production
1984,5.5e-05,Solar Energy Production
1985,0.000111,Solar Energy Production
1986,0.000147,Solar Energy Production
1987,0.000109,Solar Energy Production
1988,9.4e-05,Solar Energy Production
1989,0.054483,Solar Energy Production
1990,0.058787,Solar Energy Production
1991,0.061644,Solar Energy Production
1992,0.062903,Solar Energy Production
1993,0.065215,Solar Energy Production
1994,0.067155,Solar Energy Production
1995,0.068265,Solar Energy Production
1996,0.069171,Solar Energy Production
1997,0.068208,Solar Energy Production
1998,0.067496,Solar Energy Production
1999,0.06612,Solar Energy Production
2000,0.063531,Solar Energy Production
2001,0.061749,Solar Energy Production
2002,0.060068,Solar Energy Production
2003,0.058534,Solar Energy Production
2004,0.058501,Solar Energy Production
2005,0.058081,Solar Energy Production
2006,0.061027,Solar Energy Production
2007,0.066003,Solar Energy Production
2008,0.074819,Solar Energy Production
2009,0.078992,Solar Energy Production
2010,0.092527,Solar Energy Production
2011,0.114452,Solar Energy Production
2012,0.162248,Solar Energy Production
2013,0.224998,Solar Energy Production
2014,0.337421,Solar Energy Production
2015,0.426734,Solar Energy Production
2016,0.570218,Solar Energy Production
2017,0.776925,Solar Energy Production
2018,0.915105,Solar Energy Production
2019,1.017059,Solar Energy Production
2020,1.212237,Solar Energy Production
2021,1.501231,Solar Energy Production
1949,0.0,Wind Energy Production
1950,0.0,Wind Energy Production
1951,0.0,Wind Energy Production
1952,0.0,Wind Energy Production
1953,0.0,Wind Energy Production
1954,0.0,Wind Energy Production
1955,0.0,Wind Energy Production
1956,0.0,Wind Energy Production
1957,0.0,Wind Energy Production
1958,0.0,Wind Energy Production
1959,0.0,Wind Energy Production
1960,0.0,Wind Energy Production
1961,0.0,Wind Energy Production
1962,0.0,Wind Energy Production
1963,0.0,Wind Energy Production
1964,0.0,Wind Energy Production
1965,0.0,Wind Energy Production
1966,0.0,Wind Energy Production
1967,0.0,Wind Energy Production
1968,0.0,Wind Energy Production
1969,0.0,Wind Energy Production
1970,0.0,Wind Energy Production
1971,0.0,Wind Energy Production
1972,0.0,Wind Energy Production
1973,0.0,Wind Energy Production
1974,0.0,Wind Energy Production
1975,0.0,Wind Energy Production
1976,0.0,Wind Energy Production
1977,0.0,Wind Energy Production
1978,0.0,Wind Energy Production
1979,0.0,Wind Energy Production
1980,0.0,Wind Energy Production
1981,0.0,Wind Energy Production
1982,0.0,Wind Energy Production
1983,2.8e-05,Wind Energy Production
1984,6.8e-05,Wind Energy Production
1985,6e-05,Wind Energy Production
1986,4.4e-05,Wind Energy Production
1987,3.7e-05,Wind Energy Production
1988,9e-06,Wind Energy Production
1989,0.022033,Wind Energy Production
1990,0.029007,Wind Energy Production
1991,0.030796,Wind Energy Production
1992,0.029863,Wind Energy Production
1993,0.030987,Wind Energy Production
1994,0.03556,Wind Energy Production
1995,0.03263,Wind Energy Production
1996,0.03344,Wind Energy Production
1997,0.033581,Wind Energy Production
1998,0.030853,Wind Energy Production
1999,0.045894,Wind Energy Production
2000,0.057057,Wind Energy Production
2001,0.069617,Wind Energy Production
2002,0.105334,Wind Energy Production
2003,0.113273,Wind Energy Production
2004,0.141664,Wind Energy Production
2005,0.178088,Wind Energy Production
2006,0.263738,Wind Energy Production
2007,0.340503,Wind Energy Production
2008,0.545548,Wind Energy Production
2009,0.721129,Wind Energy Production
2010,0.923427,Wind Energy Production
2011,1.167636,Wind Energy Production
2012,1.340059,Wind Energy Production
2013,1.601359,Wind Energy Production
2014,1.727542,Wind Energy Production
2015,1.777306,Wind Energy Production
2016,2.095595,Wind Energy Production
2017,2.342891,Wind Energy Production
2018,2.482364,Wind Energy Production
2019,2.634834,Wind Energy Production
2020,2.964731,Wind Energy Production
2021,3.331698,Wind Energy Production
1949,1.549262,Biomass Energy Production
1950,1.562307,Biomass Energy Production
1951,1.534669,Biomass Energy Production
1952,1.474369,Biomass Energy Production
1953,1.418601,Biomass Energy Production
1954,1.394327,Biomass Energy Production
1955,1.424143,Biomass Energy Production
1956,1.415871,Biomass Energy Production
1957,1.333581,Biomass Energy Production
1958,1.323123,Biomass Energy Production
1959,1.352874,Biomass Energy Production
1960,1.31987,Biomass Energy Production
1961,1.294762,Biomass Energy Production
1962,1.300242,Biomass Energy Production
1963,1.323316,Biomass Energy Production
1964,1.336802,Biomass Energy Production
1965,1.334761,Biomass Energy Production
1966,1.368985,Biomass Energy Production
1967,1.340249,Biomass Energy Production
1968,1.419495,Biomass Energy Production
1969,1.440487,Biomass Energy Production
1970,1.430962,Biomass Energy Production
1971,1.432323,Biomass Energy Production
1972,1.503065,Biomass Energy Production
1973,1.529068,Biomass Energy Production
1974,1.539662,Biomass Energy Production
1975,1.498734,Biomass Energy Production
1976,1.713373,Biomass Energy Production
1977,1.838332,Biomass Energy Production
1978,2.037605,Biomass Energy Production
1979,2.151906,Biomass Energy Production
1980,2.4755,Biomass Energy Production
1981,2.596283,Biomass Energy Production
1982,2.663452,Biomass Energy Production
1983,2.904414,Biomass Energy Production
1984,2.97112,Biomass Energy Production
1985,3.016233,Biomass Energy Production
1986,2.932095,Biomass Energy Production
1987,2.874884,Biomass Energy Production
1988,3.016049,Biomass Energy Production
1989,3.159357,Biomass Energy Production
1990,2.735112,Biomass Energy Production
1991,2.781797,Biomass Energy Production
1992,2.931678,Biomass Energy Production
1993,2.908446,Biomass Energy Production
1994,3.027534,Biomass Energy Production
1995,3.099082,Biomass Energy Production
1996,3.155301,Biomass Energy Production
1997,3.107908,Biomass Energy Production
1998,2.92893,Biomass Energy Production
1999,2.965132,Biomass Energy Production
2000,3.005661,Biomass Energy Production
2001,2.624162,Biomass Energy Production
2002,2.705406,Biomass Energy Production
2003,2.804778,Biomass Energy Production
2004,2.996017,Biomass Energy Production
2005,3.101186,Biomass Energy Production
2006,3.211515,Biomass Energy Production
2007,3.47208,Biomass Energy Production
2008,3.86825,Biomass Energy Production
2009,3.956617,Biomass Energy Production
2010,4.552532,Biomass Energy Production
2011,4.712436,Biomass Energy Production
2012,4.553559,Biomass Energy Production
2013,4.834795,Biomass Energy Production
2014,5.0521,Biomass Energy Production
2015,5.031349,Biomass Energy Production
2016,5.131769,Biomass Energy Production
2017,5.165726,Biomass Energy Production
2018,5.314165,Biomass Energy Production
2019,5.215023,Biomass Energy Production
